millis,stamp,datetime,light,temp,vcc
238999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
240000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
240999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
241999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
242999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
243999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
244999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
245998, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
247000, 1562112000, "2019/7/3 0:0:0", 997, 519.76, 1.13
247999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
248999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
249999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
250998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
252000, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
252999, 1562112000, "2019/7/3 0:0:0", 997, 519.76, 1.13
254000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
254999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
256000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
256999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
257999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
258999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
259999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
261000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
261999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
262999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
263999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
264999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
265999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
266999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
268000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
268999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
270000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
270999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
271998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
272999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
273999, 1562112000, "2019/7/3 0:0:0", 996, 519.76, 1.13
274999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
275999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
277000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
277998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
278999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
279999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
280999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
281999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
282999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
284000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
284999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
286000, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
286998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
288000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
288999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
289999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
291000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
291999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
293000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
293999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
295000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
295999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
296999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
298000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
298998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
299999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
300999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
301999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
302999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
304000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
304999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
305998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
306999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
307999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
309000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
309999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
311000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
311999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
312999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
313999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
314999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
316000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
316999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
318000, 1562112000, "2019/7/3 0:0:0", 998, 520.34, 1.13
318999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
320000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
320999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
321999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
323000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
323998, 1562112000, "2019/7/3 0:0:0", 997, 519.76, 1.13
325000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
